Crash ID,Crash Date and Time,Hour of Day,Day of the week,Crash Type,Crash Severity,Property Damage Crash Indicator,Property Damage Indicator,Alcohol Involved,Aggressive Driver Involved,Bicycle Involved,Cell Phone Involved,Animal Involved,Animal Type,Drug Involved,Crash Location,Latitude,Longitude,YTD Indicator,ObjectID
3186024,5/6/2024 8:00:00 PM,16,2,Single Motor Vehicle,Possible Injury (C),No,No,No,No,Yes,No,No,,No,W FULTON ST  &  IONIA AVE NW,42.9632350500006,-85.6701257770585,YTD,1521
3186023,5/1/2024 2:00:00 PM,10,4,Rear End,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, KNAPP ST NE &  FULLER AVE NE,42.9989644530317,-85.6397720189996,YTD,1522
3186022,5/6/2024 7:15:00 PM,15,2,Angle,Possible Injury (C),No,No,No,No,No,No,No,,No, WEALTHY ST SW &  GRANDVILLE AVE SW,42.9560482757789,-85.6745813815484,YTD,1523
3186021,5/11/2024 8:13:00 PM,16,7,Backing,No Injury (O),Yes,No,No,Yes,No,No,No,,No, ALPINE AVE NW &  RICHMOND ST NW,42.9938209995507,-85.6882901156616,YTD,1524
3186020,5/10/2024 9:48:00 AM,5,6,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, LAKE MICHIGAN DR NW &  MAYNARD AVE NW,42.971958840387,-85.7468731481649,YTD,1525
3186019,5/5/2024 10:10:00 PM,18,1,Angle,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, OSWEGO ST NW &  LAKE MICHIGAN DR NW,42.9674641779071,-85.7112203538809,YTD,1526
3186018,5/4/2024 11:15:00 PM,19,7,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No,E BELTLINE AVE NE &  BELTLINE AVE ,42.9964422033208,-85.5905167485372,YTD,1527
3186017,5/4/2024 12:00:00 PM,8,7,Unknown,No Injury (O),Yes,No,No,No,No,No,No,,No, FRANCIS AVE SE &  GRIGGS ST SE,42.9301279435983,-85.6642748773217,YTD,1528
3186016,5/2/2024 9:15:00 PM,17,5,Angle,No Injury (O),Yes,No,No,No,No,No,No,,No, BURTON ST SE &  SHERWOOD AV SE,42.9270167577264,-85.5980480942152,YTD,1529
3186015,5/7/2024 3:45:00 PM,11,3,Angle,No Injury (O),Yes,No,No,No,No,No,No,,No, MICHIGAN ST NW &  MONROE AVE NW,42.9704018430355,-85.6714798169141,YTD,1530
3186014,5/2/2024 5:44:00 PM,13,5,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LAKE MICHIGAN DR NW &  MARION AVE NW,42.9663817822761,-85.6949040101149,YTD,1531
3186013,5/6/2024 5:22:00 PM,13,2,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, JEROME AVE SW &  CUTLER ST SW,42.9261775734427,-85.6769919788128,YTD,1532
3186012,5/8/2024 9:44:00 PM,17,4,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, DIVISION AVE SE &  DICKINSON ST SW,42.9330178630433,-85.6669183275519,YTD,1533
3186011,5/1/2024 5:20:00 PM,13,4,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, TURNER AVE NW &  RICHMOND ST NW,42.9921447348317,-85.6777784712337,YTD,1534
3186010,5/7/2024 12:51:00 AM,20,2,Other,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, DARWIN AV SW &  KIRTLAND ST SW,0,0,YTD,1535
3186009,5/4/2024 7:06:00 AM,3,7,Single Motor Vehicle,No Injury (O),Yes,No,No,No,No,No,No,,No, BRETON RD SE &  INVERNESS RD SE,42.9247477355245,-85.6089712194683,YTD,1536
3186008,4/30/2024 12:13:00 PM,8,3,Sideswipe-Opposite,No Injury (O),Yes,No,No,Yes,No,No,No,,No, MARKET AVE SW &  GODFREY AVE SW,42.9546316636978,-85.6824216821459,YTD,1537
3186007,4/28/2024 6:10:00 PM,14,1,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, DIVISION AVE S &  SUTTON ST SW,42.9239541437112,-85.6664904039351,YTD,1538
3186006,5/9/2024 3:55:00 PM,11,5,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, HALL ST SW &  SHERIDAN AVE SW,42.9416025119072,-85.6801431737259,YTD,1539
3186005,5/3/2024 11:32:00 PM,19,6,Head On,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, KALAMAZOO AVE SE &  OLD TOWN RD SE,42.8940276151163,-85.6264919425203,YTD,1540
3186004,5/2/2024 8:30:00 PM,16,5,Single Motor Vehicle,Suspected Minor Injury (B),No,No,No,Yes,Yes,No,No,,No, EASTERN AVE SE &  DICKINSON ST SE,42.9326290206045,-85.6485074815948,YTD,1541
3186003,5/1/2024 9:50:00 PM,17,4,Other,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LEONARD ST NE &  LAFAYETTE AVE NE,42.9845631997374,-85.6620647603124,YTD,1542
3186002,5/4/2024 12:50:00 AM,20,6,Other,No Injury (O),Yes,No,No,No,No,No,No,,No, LEONARD ST NW &  WHITE AVE NW,42.9855559353736,-85.6984866721947,YTD,1543
3186001,4/30/2024 4:33:00 AM,0,3,Other,No Injury (O),Yes,No,No,Yes,No,No,No,,No, FREMONT AVE NW &  7TH ST NW,42.9774210190112,-85.6911258300769,YTD,1544
3186000,5/8/2024 12:30:00 PM,8,4,Rear End,Possible Injury (C),No,No,No,Yes,No,No,No,,No, I-96   &  COIT AVE NE,43.0209924998809,-85.6537787370299,YTD,1545
3185999,5/6/2024 12:39:00 PM,8,2,Angle,No Injury (O),Yes,No,No,No,No,No,No,,No,E BELTLINE AVE NE & E BELTLINE AVE ,43.0017670177233,-85.5904464133339,YTD,1546
3185998,5/10/2024 7:50:00 PM,15,6,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LEONARD ST NW &  BROADWAY AVE NW,42.9849200016908,-85.6787640824132,YTD,1547
3185997,5/10/2024 1:14:00 PM,9,6,Head On-Left Turn,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LEONARD ST NW &  BROADWAY AVE NW,42.9849200016908,-85.6787640824132,YTD,1548
3185996,5/2/2024 5:50:00 PM,13,5,Single Motor Vehicle,Suspected Serious Injury (A),No,No,Yes,No,No,No,No,,Yes, KALAMAZOO AVE SE &  ALGER ST SE,42.9198930200738,-85.6330932652014,YTD,1549
3185995,5/8/2024 12:35:00 PM,8,4,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, E I 96   &  RAMP 033A  ,43.0190727436598,-85.6360734697135,YTD,1550
3185994,5/1/2024 11:30:00 AM,7,4,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, STILESGATE ST SE &  KALAMAZOO AVE SE,42.8959467425032,-85.6265160509841,YTD,1551
3185993,4/30/2024 4:34:00 AM,0,3,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, 28TH ST SE &  28TH ST SE,42.9128377854421,-85.6569051979061,YTD,1552
3185992,5/14/2024 7:50:00 PM,15,3,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, MICHIGAN ST NE &  COLLEGE AVE NE,42.9702868621621,-85.6618959248051,YTD,1553
3185991,5/14/2024 3:30:00 AM,23,2,Rear End,No Injury (O),Yes,No,Yes,No,No,No,No,,Yes, FINNEY AVE SW &  BARTLETT ST SW,42.9575927471242,-85.6755790833537,YTD,1554
3185990,4/30/2024 1:24:00 PM,9,3,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, ALPINE AVE NW &  12TH ST NW,42.9833641973369,-85.688002865185,YTD,1555
3185989,5/10/2024 11:15:00 PM,19,6,Rear End,No Injury (O),Yes,No,No,Yes,No,Yes,No,,No, LAKE MICHIGAN DR NW &  OAKLEIGH RD NW,42.971584246101,-85.7269567306346,YTD,1556
3185988,5/5/2024 1:38:00 AM,21,7,Other,Suspected Serious Injury (A),No,No,No,Yes,No,No,No,,No,E BELTLINE AVE NE &  MICHIGAN ST NE,42.969047521271,-85.5906781708317,YTD,1557
3185987,5/13/2024 5:35:00 PM,13,2,Single Motor Vehicle,No Injury (O),Yes,No,No,No,No,No,No,,No, PLYMOUTH AVE NE &  LONSDALE DR NE,42.9695417940473,-85.6250469157071,YTD,1558
3185986,4/30/2024 7:55:00 PM,15,3,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, PALACE AVE SW &  STEWART ST SW,42.9292960057989,-85.6747253899697,YTD,1559
3185985,4/29/2024 2:11:00 PM,10,2,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, US 131   &  RAMP 044A  ,42.9802628469376,-85.6772622237256,YTD,1560
3185984,5/4/2024 4:25:00 AM,0,7,Single Motor Vehicle,No Injury (O),Yes,No,No,No,No,No,No,,No, GRANDVILLE AVE SW &  CSX TRANSPORTATION  ,42.9543102106397,-85.675563188275,YTD,1561
3185983,5/9/2024 7:04:00 PM,15,5,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No,E BELTLINE AVE SE &  CALVIN COLLEGE DR SE,42.9367308011668,-85.5849772280812,YTD,1562
3185982,5/2/2024 6:10:00 PM,14,5,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, DIVISION AVE S &  BURTON ST SE,42.9274254700276,-85.6666423595654,YTD,1563
3185981,5/6/2024 2:30:00 PM,10,2,Head On-Left Turn,Possible Injury (C),No,No,No,Yes,No,No,No,,No, CENTURY AVE SW &  MCKENDRICK ST SW,42.9292198607007,-85.6820274671496,YTD,1564
3185980,5/13/2024 10:55:00 AM,6,2,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, CRESCENT ST NE &  UNION AVE NE,42.9688510357118,-85.6543077474102,YTD,1565
3185979,5/9/2024 10:24:00 PM,18,5,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, EASTERN AVE SE &  LARAWAY PLZ SE,42.9112730525422,-85.6469978924738,YTD,1566
3185978,5/8/2024 11:50:00 AM,7,4,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, LOUIS ST NW &  COMMERCE AVE SW,42.9632958319662,-85.6692522658318,YTD,1567
3185977,5/1/2024 9:35:00 PM,17,4,Head On-Left Turn,Possible Injury (C),No,No,No,Yes,No,No,No,,No, LEONARD ST NE &  RAMP 036B  ,42.9843743939064,-85.6066390131557,YTD,1568
3185976,4/30/2024 4:44:00 AM,0,3,Rear End,No Injury (O),Yes,No,Yes,No,No,No,No,,No, MCKENDRICK ST SW &  CENTURY AVE SW,42.9292320050833,-85.6826192388129,YTD,1569
3185975,5/3/2024 8:28:00 PM,16,6,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, ALPINE AVE NW &  SYLVIA ST NW,42.9966151955419,-85.6883719378032,YTD,1570
3185974,4/29/2024 6:30:00 PM,14,2,Single Motor Vehicle,Suspected Minor Injury (B),No,No,No,No,Yes,No,No,,No, GRANT ST SW &  GRANDVILLE AVE SW,42.9521458624888,-85.6766853746542,YTD,1571
3185973,5/3/2024 6:15:00 PM,14,6,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, 4TH ST NW &  GARFIELD AVE NW,42.9753295698519,-85.6982838728908,YTD,1572
3185972,5/1/2024 12:50:00 AM,20,3,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, PLAINFIELD AVE NE &  SALERNO ST NE,43.0253418172787,-85.6326113673812,YTD,1573
3185971,5/13/2024 10:48:00 PM,18,2,Other,Possible Injury (C),No,No,No,Yes,No,No,No,,No, RAMP 033E   &  PLAINFIELD AVE NE,43.0203509399031,-85.6346278781997,YTD,1574
3185970,5/10/2024 12:59:00 AM,20,5,Rear End,No Injury (O),Yes,No,Yes,No,No,No,No,,No, COLLEGE AVE SE &  WASHINGTON ST SE,42.9608516240239,-85.6567808225713,YTD,1575
3185969,5/13/2024 6:32:00 PM,14,2,Head On-Left Turn,No Injury (O),Yes,No,No,Yes,No,No,No,,No, BRETON RD SE &  29TH ST SE,42.9093440883711,-85.6079165744977,YTD,1576
3185968,4/29/2024 1:34:00 PM,9,2,Head On-Left Turn,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, COLLEGE AVE NE &  LEONARD ST NE,42.9845278676733,-85.6571139705158,YTD,1577
3185967,5/12/2024 12:00:00 PM,8,1,Rear End,No Injury (O),Yes,No,Yes,Yes,No,No,No,,No, COLLINS AVE SE &  GRIGGS ST SE,42.9311352579497,-85.6618479056881,YTD,1578
3185966,4/30/2024 8:52:00 PM,16,3,Single Motor Vehicle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, PLAINFIELD AVE NE &  ANN ST NE,42.9955333251962,-85.6592719153893,YTD,1579
3185965,5/8/2024 9:31:00 PM,17,4,Single Motor Vehicle,Possible Injury (C),No,No,No,No,Yes,No,No,,No, CAMPAU AVE NW &  MONROE AVE NW,42.9642198717824,-85.6727706912987,YTD,1580
3185964,5/4/2024 8:08:00 PM,16,7,Other,Suspected Minor Injury (B),No,No,No,No,No,No,No,,No, OAKDALE ST SE &  PARIS AVE SE,42.9373393512743,-85.6552694839274,YTD,1581
3185963,5/1/2024 9:22:00 PM,17,4,Other,Possible Injury (C),No,No,No,No,No,No,No,,No, BRETON RD SE &  BURTON ST SE,0,0,YTD,1582
3185962,5/4/2024 4:20:00 PM,12,7,Other,No Injury (O),Yes,No,No,Yes,No,No,No,,No, BRETON RD SE &  29TH ST SE,0,0,YTD,1583
3185961,5/8/2024 10:30:00 PM,18,4,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, HALL ST SE & S DIVISION AVE ,42.9414958773827,-85.6673389004006,YTD,1584
3185960,4/30/2024 9:56:00 PM,17,3,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, 5TH ST NW &  TURNER AVE NW,42.9758287799349,-85.6785825122228,YTD,1585
3185959,5/8/2024 6:14:00 AM,2,4,Sideswipe-Opposite,Suspected Minor Injury (B),No,No,Yes,No,No,No,No,,No, PERKINS AVE NE &  BRADFORD ST NE,42.9785942012917,-85.6202261956513,YTD,1586
3185958,5/3/2024 7:18:00 PM,15,6,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, KNAPP ST NE &  FULLER AVE NE,42.9989646995325,-85.6398706560571,YTD,1587
3185957,5/7/2024 9:45:00 PM,17,3,Head On-Left Turn,No Injury (O),Yes,No,No,Yes,No,No,No,,No, MICHIGAN ST NE &  FULLER AVE NE,42.9699845627876,-85.6404212504304,YTD,1588
3185956,4/30/2024 7:14:00 PM,15,3,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, PLAINFIELD AVE NE &  ELMDALE ST NE,43.0217539453674,-85.633394673964,YTD,1589
3185955,5/11/2024 6:14:00 AM,2,7,Single Motor Vehicle,Suspected Minor Injury (B),No,No,Yes,No,No,No,No,,No, LEONARD ST NE &  FULLER AVE AVE NE,42.9844249145735,-85.6398491462371,YTD,1590
3185954,4/30/2024 11:15:00 AM,7,3,Unknown,No Injury (O),Yes,No,No,Yes,No,No,No,,No, INDIANA AVE NW &  VETO ST NW,42.9642339936387,-85.6888281019512,YTD,1591
3185953,4/30/2024 12:39:00 PM,8,3,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, CROSBY ST  NW &  MUSKEGON AVE  NW,42.9869312102413,-85.6844421727218,YTD,1592
3185952,5/9/2024 8:20:00 AM,4,5,Single Motor Vehicle,Suspected Minor Injury (B),No,No,No,No,Yes,No,No,,No, LEONARD ST NE &  EASTERN AVE AVE NE,42.9844923689634,-85.6495345399866,YTD,1593
3185951,5/7/2024 12:25:00 PM,8,3,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LAFAYETTE AVE NE &  MATILDA ST NE,42.9793875472035,-85.6620071212526,YTD,1594
3185950,5/3/2024 11:15:00 AM,7,6,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, ANN ST NW &  WILL AVE NW,42.9958256460747,-85.6802001728158,YTD,1595
3185949,5/2/2024 11:23:00 PM,19,5,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, KALAMAZOO AVE SE &  ELLIOTT ST SE,42.9286423962563,-85.6348552461203,YTD,1596
3185948,4/30/2024 1:10:00 AM,21,2,Single Motor Vehicle,Possible Injury (C),No,No,No,No,No,No,No,,No, TURNER AVE NW &  10TH ST NW,42.9801654113365,-85.6780231544785,YTD,1597
3185947,5/5/2024 2:05:00 AM,22,7,Single Motor Vehicle,No Injury (O),Yes,No,No,No,No,No,No,,No, GRANDVILLE AVE SW &  LIBERTY ST SW,42.9397058235769,-85.6837222084939,YTD,1598
3185946,4/28/2024 8:39:00 PM,16,1,Angle,Suspected Serious Injury (A),No,No,No,Yes,No,No,No,,No, MONROE AVE NW &  LYON ST NW,42.967200496812,-85.6721766841962,YTD,1599
3185945,5/1/2024 11:15:00 PM,19,4,Single Motor Vehicle,Suspected Serious Injury (A),No,No,No,No,No,No,No,,No,N PARK ST NE &  MONROE AVE NE,43.0221399201763,-85.6598082554356,YTD,1600
3185943,5/5/2024 6:32:00 PM,14,1,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, WESTON ST SE &  LA GRAVE AVE SE,42.9620744159952,-85.665371951045,YTD,1601
3185942,5/3/2024 9:26:00 PM,17,6,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No,E FULTON ST  &  DIAMOND AVE SE,42.9627757212763,-85.6445509360722,YTD,1602
3185941,5/6/2024 8:22:00 AM,4,2,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, LEONARD ST NE &  FULLER AVE NE,42.9844248797468,-85.6398679550084,YTD,1603
3185940,5/3/2024 5:00:00 PM,13,6,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, VAN BUREN AVE NW &  RENNSLAER ST ST NW,42.9837249664346,-85.6994890234412,YTD,1604
3185939,5/10/2024 8:15:00 PM,16,6,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No,S DIVISION AVE  &  GOODRICH ST SE,42.9572310440025,-85.6676962433959,YTD,1605
3185938,4/30/2024 5:50:00 PM,13,3,Single Motor Vehicle,Suspected Minor Injury (B),No,No,No,Yes,Yes,No,No,,No, 28TH ST SE &  WOODLAWN AVE SE,0,0,YTD,1606
3185937,5/3/2024 9:44:00 AM,5,6,Head On-Left Turn,No Injury (O),Yes,No,No,Yes,No,No,No,,No, ALPINE AVE NW &  RICHMOND ST NW,42.9924734861537,-85.688244770088,YTD,1607
3185936,4/29/2024 11:58:00 AM,7,2,Sideswipe-Opposite,No Injury (O),Yes,No,No,No,No,No,No,,No, LEONARD ST NE &  PERKINS AVE NE,42.9844165800745,-85.6213170808108,YTD,1608
3185935,5/10/2024 5:54:00 PM,13,6,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LAFAYETTE AVE SE &  WEALTHY ST SE,42.9557363796607,-85.6617134294587,YTD,1609
3185934,5/9/2024 12:59:00 PM,8,5,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, LAKE MICHIGAN DR NW &  WINONA AVE NW,42.9714731431914,-85.7196212332426,YTD,1610
3185933,4/28/2024 9:19:00 PM,17,1,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, FULLER AVE SE &  BEMIS ST SE,42.9530068428977,-85.6394931290391,YTD,1611
3185932,5/14/2024 10:06:00 PM,18,3,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, WEALTHY ST SE &  MADISON AVE SE,42.9557633932444,-85.6590890578884,YTD,1612
3185931,5/10/2024 2:40:00 AM,22,5,Head On-Left Turn,Suspected Serious Injury (A),No,No,No,No,No,No,No,,No, MARKET AVE SW & W FULTON ST ,42.9632497760855,-85.6734343631158,YTD,1613
3185930,5/8/2024 9:20:00 PM,17,4,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No,N MONROE AVE  & E NEWBERRY ST ,42.9738911776166,-85.6723966162651,YTD,1614
3185929,5/7/2024 12:05:00 PM,8,3,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, FULLER AVE SE &  BATES ST SE,42.949185421737,-85.6394543497528,YTD,1615
3185928,5/1/2024 9:30:00 PM,17,4,Rear End,No Injury (O),Yes,No,No,No,No,No,No,,No, FULLER AVE NE &  LEONARD ST NE,42.9843814755586,-85.6398675177536,YTD,1616
3185927,4/30/2024 5:29:00 PM,13,3,Other,No Injury (O),Yes,No,No,No,No,No,No,,No, FULTON ST NW &  MOUNT VERNON AVE NW,42.9633005405352,-85.6782047453761,YTD,1617
3185926,5/2/2024 4:28:00 PM,12,5,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No,E BELTLINE AVE NE &  LEONARD ST NE,42.9851644986463,-85.5907380087296,YTD,1618
3185925,5/7/2024 12:10:00 AM,20,2,Rear End,No Injury (O),Yes,No,No,No,No,No,No,,No, FULLER AVE SE &  LAKE DR SE,42.9589681571533,-85.6398903290808,YTD,1619
3185924,5/3/2024 8:00:00 PM,16,6,Rear End,Possible Injury (C),No,No,No,Yes,No,No,No,,No, BURTON ST SW &  JEROME AVE  SW,42.9276948932518,-85.6766658815364,YTD,1620
3185923,5/6/2024 3:52:00 AM,23,1,Single Motor Vehicle,Suspected Serious Injury (A),No,No,Yes,Yes,No,No,No,,No,E BELTLINE AVE SE & E BELTLINE AVE SE,42.9199963062588,-85.5840268583485,YTD,1621
3185922,5/12/2024 11:50:00 PM,19,1,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, 28TH ST SE &  BRETON RD SE,42.9126349300115,-85.6076016086738,YTD,1622
3185921,5/12/2024 4:30:00 AM,0,1,Backing,No Injury (O),Yes,No,Yes,No,No,No,No,,No, FAIR ST SE & S DIVISION AVE ,0,0,YTD,1623
3185920,5/5/2024 7:05:00 PM,15,1,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, KALAMAZOO AVE SE   &  GRIGGS ST SE  ,42.931515363784,-85.6369316677218,YTD,1624
3185919,4/28/2024 2:00:00 PM,10,1,Other,No Injury (O),Yes,No,No,No,No,No,No,,No, LINDEN AVE SE   &  OAKDALE ST SE  ,0,0,YTD,1625
3185044,5/11/2024 1:44:00 AM,21,6,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LEONARD ST NW &  GARFIELD AVE NW,42.9854915719619,-85.6966787692094,YTD,1626
3185043,4/27/2024 7:18:00 AM,3,7,Single Motor Vehicle,No Injury (O),Yes,No,No,No,No,No,No,,No, HALL ST SW &  GODFREY AVE SW,42.9416838260994,-85.6851939219938,YTD,1627
3185042,4/28/2024 10:15:00 AM,6,1,Head On,No Injury (O),Yes,No,No,No,No,No,No,,No, GARDEN ST SE &  PROSPECT AVE SE,42.9369557500021,-85.6599620480819,YTD,1628
3185041,4/9/2024 6:00:00 PM,14,3,Angle,No Injury (O),Yes,No,No,No,No,No,No,,No, BRADFORD ST NE & E BELTLINE AVE NE,42.9771219926775,-85.5911494291577,YTD,1629
3185040,5/2/2023 7:00:00 PM,15,3,Rear End,No Injury (O),Yes,No,No,No,No,No,No,,No,E BELTLINE AVE NW &  KNAPP ST NE,42.99851519748,-85.5900744184708,YTD,1630
3185039,4/17/2024 1:20:00 PM,9,4,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, 438 BRIDGE ST NW   &  N/A  ,0,0,YTD,1631
3185038,4/26/2024 7:15:00 PM,15,6,Backing,No Injury (O),Yes,No,No,No,No,No,No,,No, NORMANDY DR SE   &  SAGINAW RD SE  ,0,0,YTD,1632
3185037,4/21/2024 12:30:00 AM,20,7,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, HALL ST SE &  KALAMAZOO AVE SE,42.9410904428187,-85.6451499040399,YTD,1633
3185036,4/23/2024 6:00:00 PM,14,3,Sideswipe-Opposite,No Injury (O),Yes,No,No,No,No,No,No,,No, BRIDGE ST NW &  SUMMER AVE NW,42.9705886588792,-85.6798656303249,YTD,1634
3185035,4/21/2024 4:00:00 PM,12,1,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, WEALTHY   &  DIVISION  ,42.9561661234529,-85.6715280977777,YTD,1635
3185034,4/19/2024 2:30:00 PM,10,6,Unknown,No Injury (O),Yes,No,No,No,No,No,No,,No, OTTAWA AVE NW   &  NEWBERRY ST NW  ,0,0,YTD,1636
3185033,4/19/2024 4:00:00 PM,12,6,Backing,No Injury (O),Yes,No,No,No,No,No,No,,No, 435 BURTON ST SW   &  JEROME AVE SW  ,0,0,YTD,1637
3185032,4/15/2024 3:00:00 PM,11,2,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, OTTAWA AVE NW &  MICHIGAN ST NW,42.9704296005514,-85.6700783897866,YTD,1638
3185031,4/15/2024 5:45:00 PM,13,2,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, MICHIGAN ST NE &  COLLEGE AVE NE,42.970167899626,-85.6568765691824,YTD,1639
3185030,4/13/2024 7:00:00 PM,15,7,Other,No Injury (O),Yes,No,No,No,No,No,No,,No, 3797 28TH ST SE   & E BELTLINE AVE ,0,0,YTD,1640
3185029,4/23/2024 2:30:00 PM,10,3,Backing,No Injury (O),Yes,No,No,No,No,No,No,,No, LEONARD ST   &  PINE AVE  ,0,0,YTD,1641
3185028,4/23/2024 8:09:00 PM,16,3,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No,E BELTLINE AVE NE &  KNAPP ST NE,0,0,YTD,1642
3185027,4/26/2024 10:30:00 PM,18,6,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, MYRTLE ST NW &  POWERS AVE NW,42.9890852359385,-85.6955795002522,YTD,1643
3185026,4/18/2024 10:00:00 PM,18,5,Other,No Injury (O),Yes,No,No,No,No,No,No,,No, UNION AVE NE &  LYON ST ST NE,42.9675866468633,-85.6544646633444,YTD,1644
3185025,4/23/2024 4:00:00 PM,12,3,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, PRINCE ST   &  NELAND AVE  ,42.9464891173417,-85.6431204917299,YTD,1645
3185024,4/26/2024 5:47:00 PM,13,6,Single Motor Vehicle,Suspected Minor Injury (B),No,No,No,No,Yes,No,No,,No, 28TH ST SE &  EASTERN AVE AVE SE,42.9127981836538,-85.6469992389687,YTD,1646
3185023,4/12/2024 8:15:00 AM,4,6,Other,No Injury (O),Yes,No,No,No,No,No,No,,No, MONROE AVE NW   &  ANN ST NW  ,0,0,YTD,1647
3185022,4/13/2024 7:00:00 PM,15,7,Angle,No Injury (O),Yes,No,No,No,No,No,No,,No, LOGAN ST SE &  GLENWOOD AVE SE,42.9536482019179,-85.6305465304556,YTD,1648
3185021,4/10/2024 9:45:00 PM,17,4,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, ALPINE AVE   &  12TH ST  ,42.9834075856297,-85.6880040536127,YTD,1649
3185020,4/26/2024 12:20:00 PM,8,6,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, MADISON AVE SE &  ROSEMARY ST  SE,42.9156753918902,-85.6571104258255,YTD,1650
3185019,4/24/2024 12:30:00 AM,20,3,Rear End,Possible Injury (C),No,No,No,Yes,No,No,No,,No, MADISON AVE SE &  28TH ST SE,42.9130422307127,-85.656918206303,YTD,1651
3185018,4/22/2024 5:14:00 PM,13,2,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No,E BELTLINE AVE NE &  LEONARD ST NE,42.9836500069426,-85.5903460846868,YTD,1652
3185017,4/17/2024 8:45:00 PM,16,4,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, DIVISION AVE S &  COTTAGE GROVE ST SE,42.9356772260408,-85.6670709890153,YTD,1653
